,Course Code,Course Name,Course Description,Instructor(s),Terms Offered,Prerequisite(s),Equivalent Courses,Notes
72,FREN 23725,La querelle des femmes,"La condition des femmes dans une société centrée sur l'homme est remise en cause en France au XVIIe siècle : naissent les premiers salons présidés par des femmes, qui défendent leur éducation intellectuelle et remettent en question le mariage ; la séparation cartésienne entre corps et esprit permet de prôner l'égalité des sexes. Ce proto-féminisme affronte aussitôt une forte réaction, qui s'exprime notamment par la satire, comme ses adhérentes sont traitées de « précieuses » et de « femmes savantes », dans le théâtre de Molière comme ailleurs. Dans un premier temps, nous écouterons les voix majeures de ce mouvement (telles que Madeleine de Scudéry, la salonnière dite Sapho), et examinerons ses diverses interprétations (notamment en longeant ensemble La Galerie des femmes fortes en Special Collections). Ensuite, nous ferons l'analyse des stratégies anti-féministes pour le miner. Enfin, la querelle de 1694 autour d'une satire misogyne de Boileau nous servira de conclusion pour un chapitre dans la longue histoire du féminisme et de sa réaction. Taught in French.",Peadar Kavanagh,Spring,FREN 20500 or 20503.,None,None
73,FREN 23810,Memory and Identity in French Literature: Proust to the Present,"This introductory-level course takes as its point of departure Marcel Proust's conceptualization of memory as the foundation both for the self and for literature. For Proust, literary style conveys the singularity of an individual vision while rescuing experience from the contingencies of time. Literature, identity, and memory are inseparable. Later writers will follow Proust's lead in defining literature as an art of memory; but they develop this art in different ways, whether by inventing new forms of life-writing or attempting to revive, via fiction, a lived connection to history. How does memory serve as the foundation of individual or collective identities? How does fiction imagine and give form to memory, and how does literature serve as a medium for cultural memory? How do literary works register the intermittence of memory, its failings and distortions, its fragility as well as its attachment to bodies and places? We will tackle these questions through close analysis of a range of texts. In addition to Proust, authors studied may include Yourcenar, Perec, Modiano, Roubaud, and Ernaux.",Alison James,Course not offered in 24-25.,None,"Taught in English, with a weekly or biweekly session in French for those seeking FREN credit.","FNDL 23810, SIGN 26047"
74,FREN 24100,Nature and the Natural in the Middle Ages,"In this course we will undertake a study of nature and ideas about what is ""natural"" centered around three main axes, and will adopt a variety of relevant critical perspectives (e.g., ecocriticism, studies of gender and sexuality, political theory) to support our analyses. First, we will explore nature as the created world of which humans are a part (as one of God's creations), yet from which they also stand apart (as sovereign caretakers). Second, we will examine how the diffusion of Aristotelian works (notably the Politics) in the later Middle Ages provided a justificatory framework for social and political hierarchies and practices of economic exploitation. Third, we will consider the intersection of nature with gender, sexuality, and reproduction, a topic complicated by the fact that Nature is itself represented, in allegorical terms, as a woman.",Daisy Delogu,Course not offered in 24-25.,"Reading knowledge of French for all students. FREN 20500, 20503 or a literature course taught in French for those seeking credit for the French major/minor.",Taught in English.,"ENST 24110, FREN 34100, GNSE 34103, CEGU 24110, GNSE 24103, MDVL 24103"
75,FREN 24110,L'écriture du quotidien au XXe siècle,"Si les avant-gardes de la première moitié du siècle prétendent ""changer la vie"" (selon l'expression de Rimbaud), c'est surtout après la Seconde Guerre mondiale que s'élaborent des théories du quotidien (Lefebvre, de Certeau). Ce cours se propose de confronter les théories du quotidien aux différentes pratiques d'écriture du quotidien et au quotidien (des surréalistes à Annie Ernaux, en passant par Michel Leiris, Roland Barthes, et Georges Perec), afin de mieux cerner la spécificité des approches littéraires du réel.",A. James,Course not offered in 24-25.,"FREN 20500 or 20503, or consent of instructor",FREN 34110,None
76,FREN 24516,La figure du héros : de Corneille à Sartre,"Du classicisme à l'existentialisme, la question de la représentation du héros dans l'œuvre littéraire a toujours été centrale. Pourquoi donner à un personnage un tel poids dans le récit ? Comment définir l'héroïsme et quelles sont ses formes ? En prenant en compte le genre littéraire et le contexte historique de chaque œuvre, nous nous attacherons dans ce cours à comprendre la nécessité du héros dans la fiction, et à analyser les motifs qui le poussent à agir et le résultat de ses actions. Nous examinerons les multiples facettes du héros : des grands héros tragiques de l'époque classique au personnage sartrien du XXème siècle en passant par le héros romantique. Notre réflexion s'appuiera sur une lecture précise de certaines œuvres marquantes sur le sujet, écrites par des auteurs majeurs (Corneille, Voltaire, Balzac, Maupassant…) et appartenant à des genres littéraires différents.",I. Faton,Course not offered in 24-25.,None,None,Taught in French.
77,FREN 24555,Ecological Explorations of the Francophone World,"The environmental humanities - that is, the study of nature through humanistic disciplines such as literature and history - has long been dominated by texts and theories from privileged sections of Europe and North America. However, alternative understandings of our natural world, including the role of living beings within it, have always existed. In this course, we will explore how contemporary francophone literature can renew, expand and complicate our perceptions of the oceans, deserts, mangroves and forests that surround us. Particular attention will be paid to questions of race, gender, language and indigeneity; course material may include theoretical texts, fiction, poetry, songs, podcasts, film, graphic novels and social media material.",Nikhita Obeegadoo,Winter,"For students seeking French credit, FREN 20500 or equivalent.","Taught in English or French, based on course composition",FREN 34555
78,FREN 24610,Introduction au théâtre français,"Dans ce cours nous examinerons la production théâtrale en France depuis le Moyen Âge jusqu'à nos jours, prenant en compte la variété et la richesse du théâtre français, ainsi que la place proéminente qu'il a occupé dans la culture française.",D. Delogu,Course not offered in 24-25.,FREN 20500,TAPS 24878,None
79,FREN 24690,Fairy Tales,"La plupart des contes de fées que vous connaissez, de ""Cendrillon"" au ""Chat Botté"", ont été écrits en français d'abord, et au dix-septième siècle, qui a été l'âge d'or de ce genre en France. Les enfants et les adultes connaissent bien les contes d'auteurs comme Charles Perrault ou les frères Grimm. En France, pourtant, les femmes ont été cruciales au développement du conte de fées, avec Marie Catherine d'Aulnoy, la comtesse de Murat, ou Gabrielle Barbot de Villeneuve (qui a écrit ""La Belle et la bête""). Etant donné qu'ils sont en grande partie responsables de ce en quoi consiste, de nos jours, la beauté, et d'une certaine image de l'amour et de la place de la femme dans la société, aussi bien que de ce qui est relégué aux marges, se pencher sur la formation de ce genre et analyser ses histoires est nécessaire pour comprendre pourquoi et comment ces idées prirent racine. Est-ce que les contes de fées sont les premiers récits à mettre en scène des héroïnes de caractère, ou est-ce qu'ils n'ont fait que perpétuer le motif de la demoiselle en détresse ? S'ils étaient, comme un article l'a récemment proposé, les premières critiques du patriarcat, peut-on le percevoir également chez ceux écrits par des hommes et ceux écrits par des femmes ? Nous étudierons des contes de fées français, anciens et modernes, à la fois des textes et des adaptations cinématographiques, en nous appuyant sur des lectures théoriques au sujet du folklore et du féminisme.",Pauline Goul,Course not offered in 24-25.,"FREN 20500, 20503, or a literature course taught in French.",Taught in French.,FREN 34690
80,FREN 24700,Introduction à la littérature féminine au Maroc,"Depuis les années 1980, la littérature féminine au Maroc connaît un essor remarquable qui se traduit dans le renouvellement du paysage littéraire et la diversité des thèmes abordés. En mettant la femme marocaine et ses expériences au centre de l'acte littéraire, les écrivaines marocaines ont brisé les tabous et insufflé une dynamique sociale et politique à l'échelle du pays. Ce cours introductif donnera un aperçu des écritures féminines au Maroc à partir de questions majeures telles que la représentation du corps et de la sexualité, le rapport à la maternité et à la transmission, le poids des traditions et des injonctions sociales, les combats politiques, les droits des femmes ainsi que les luttes contre la discrimination et la violence. Parmi les autrices étudiées figurent Fatima Mernissi, Fatna El Bouih, Leila Abouzeid, Siham Benchekroun et Yasmina Chami. This is an introductory-level course. Taught in French.",Khalid Lyamlahy,Winter,"FREN 20500, 20503 or consent of the instructor.",None,None
81,FREN 24724,Empowering the Solo Voice: A Feminist Exploration of Francophone Theater Performance,"In this course, we will delve into the world of contemporary Francophone theater, focusing on the genre of solo performances, or ""seules en scène''. We will examine the lineage, history, and practice of this genre, with a special emphasis on feminist playwrights and performers, such as Typhaine D, Jalila Baccar, Fanny Cabon, and Florence Foresti.
We will study the underlying components of solo performances and learn how to integrate them into different modes, including storytelling, one-woman or one-man shows, and standup. The selected plays will illustrate how the art of the solo voice can empower under-represented communities and minorities to share powerful narratives and create a new space for visibility and listening.
The class will combine history, practice, and creative writing, and will afford students the opportunity to apply this knowledge in a series of live performances that will allow them to creatively connect to the issues raised in the readings and draw from their own experiences, inspirations, and questions.
Students will develop creative and critical tools to fully explore the solo voice as a form of artistic expression, honing their talents in writing, devising, composing, producing, and creating work. Performance recordings will be obtained and shared with the class to further enhance the learning experience. One of the unique opportunities of this course is the opportunity to work with texts obtained directly from the playwrights.",Khouloud Gargouri,Course not offered in 24-25.,Reading knowledge of French.,Class will be conducted in English with a separate discussion section available for students seeking credit for the major/minor. Readings will be in French and in English.,"TAPS 20235, GNSE 23156"
82,FREN 24725,"Transatlantic Feminism French, Francophone, and North American perspectives (20th-21st c)","This course explores modern and contemporary feminism through a transatlantic lens. We will consider three major moments and sites of a multi-centered conversation. First, we will explore the modernist desire for cosmopolitanism which drew writers across the Atlantic (Simone de Beauvoir's adventures in the US; Djuna Barnes and Gertrude Stein's lives in Paris). In the central part of the quarter, we will focus on the period between 1960 and 1990 which witnessed intense conversation and contestation between a French paradigm of ""écriture féminine"" (Hélène Cixous, Monique Wittig), and the rivalling practices and theories in America (from Adrienne Rich and Mary Daly to Judith Butler). Finally, we will explore the ways in which feminist thought has endeavored to account for race, class, rurality, and disability (from Maryse Condé to Aurélie Olivier and Roseline Lambert). The course will explore various media (novels, poetry, theater and performance, film), and various ways to engage critically and creatively with this history of transatlantic feminism.",Léon	Pradeau,Winter,"Taught in English but reading knowledge of French is required. Students taking this class for French credit must have taken FREN 20500, 20503 or a literature course taught in French, and will complete assignments in French.",None,None
83,FREN 24888,"Jeux littéraires, XXe/XXIe siècles","Ce cours abordera l'histoire littérature à travers un prisme particulier: la fréquence des pratiques de jeu dans la production littéraire des XXe et XXIe siècles-des ""cadavres exquis"" du surréalisme à l'interactivité des littératures numériques, en passant par les contraintes formelles de l'Ouvroir de littérature potentielle (Oulipo). Nous analyserons le rôle de ces pratiques dans l'esthétique et la sociabilité des avant-gardes, tout en tenant compte des théories du jeu les plus pertinentes (Huizinga, Caillois). En plus des travaux d'analyse littéraire, les étudiants participeront à des exercices de création individuels ou collectifs.",A. James,Course not offered in 24-25.,"FREN 20500 or 20503, and one other literature course taught in French.",Taught in French.,FREN 34888
84,FREN 24900,Nouvelles du Maghreb,"Ce cours est une introduction au genre de la nouvelle au Maghreb. En travaillant sur une sélection de nouvelles et de textes courts d'auteurs marocains, algériens et tunisiens, on s'intéressera aussi bien aux thèmes abordés (reconstruction historique, critique sociale ou politique, réflexions sur l'identité et l'altérité, etc.) qu'aux schémas narratifs et aux procédés esthétiques. À travers l'étude de la mise en scène des personnages, de la construction de l'intrigue et du dénouement des récits, on interprétera la concision de la nouvelle et sa capacité à représenter, souvent de manière saisissante, des éléments majeurs de la société et de la culture maghrébines. Les auteurs étudiés comprennent Driss Chraïbi, Mohamed Leftah, Abdelfattah Kilito, Mohammed Dib, Maïssa Bey, Leïla Sebbar, Ali Bécheur, Hélé Béji et d'autres.",Khalid Lyamlahy,Course not offered in 24-25.,FREN 20300 or consent of instructor.,None,This is an introductory-level course. Taught in French.
85,FREN 25000,"Molière: Comedy, Power and Subversion","Molière crafted a new form of satirical comedy that revolutionized European theater, though it encountered strong opposition from powerful institutions. We will read the plays in the context of the literary, dramatic, and theatrical/performance traditions which he reworked (farce, commedia dell'arte, Latin comedy, Spanish Golden Age theater, satiric poetry, the novel), while considering the relationship of laughter to social norms, with particular emphasis on sexuality, gender roles, and cultural identities.",Larry Norman,Course not offered in 24-25.,FREN 20500 or FREN 20503.,Taught in French.,"TAPS 38470, TAPS 28470, FREN 35000, FNDL 25001"
86,FREN 25505,Grandes voix féminines des Lettres africaines,"Ce cours s'intéresse aux œuvres des écrivaines francophones majeures de l'Afrique sub-saharienne dont Mariama Bâ, Aminata Sow Fall, Fatou Diome, Léonora Miano, Scholastique Mukasonga, et Véronique Tadjo. Il s'agit d'étudier les thématiques abordées par ces auteures et les techniques qu'elles utilisent non seulement pour représenter et repenser la condition de la femme africaine mais aussi pour contribuer activement aux débats socioculturels et politiques qui résonnent à travers le continent et sa diaspora. Dans ce cours, on analysera les questions d'engagement, de résistance et d'émancipation telles que mises en scène par des voix féminines africaines qui luttent contre les préjugés et opposent aux stéréotypes la diversité et le dynamisme de leurs créations.",Khalid Lyamlahy,Course not offered in 24-25.,FREN 20500 or 20503,Taught in French.,"GNSE 35506, GNSE 25506, FREN 35505"
87,FREN 25600,Realism and Its Returns in 20th-Century France,"This course will examine the influence and continuation in twentieth-century French literature of the great realist enterprise of the previous century. Beginning with the crisis of naturalism in the late nineteenth century, we will consider the inflections given to literary representation by historical cataclysm, the avant-garde critique of the novel, and the postwar ""age of suspicion."" We will investigate the reformulations of literature's relationship to reality offered by theories of literary commitment and by the experiments of the Nouveau Roman. Finally, we will evaluate the phenomenon of the ""return to the real"" in contemporary French literature. Readings will include works by Aragon, Céline, Sartre, Robbe-Grillet, Sarraute, Perec, and Pierre Michon.",Alison James,Course not offered in 24-25.,"FREN 20500, 20503 or a literature course taught in French.",Taught in French.,FREN 35600
88,FREN 25610,Figures de l'immigré dans la littérature maghrébine d'expression française,"La littérature maghrébine d'expression française s'est très tôt intéressée à la question de l'immigration et à la condition de l'immigré maghrébin en France. Associée notamment à la mobilisation des soldats maghrébins lors des deux guerres mondiales, cette immigration commence dès les années 1920 et connaît son apogée pendant les Trente Glorieuses (1946-1975), une période de croissance pendant laquelle l'économie française fait appel à la main d'œuvre maghrébine. L'évolution et les dynamiques du mouvement migratoire maghrébin ont fait l'objet de plusieurs lectures d'ordre historique, politique, économique et socioculturel. Ce cours s'intéresse à l'expérience de l'immigration telle que représentée par les écrivains maghrébins entre le milieu des années 1950 et les années 2000. En étudiant un corpus constitué de romans (Chraïbi, Ben Jelloun, Boudjedra, Mokeddem), de récits (Sebbar, Cherfi) et de théâtre (Kateb), nous nous intéresserons aux figures de l'immigré et à quelques thèmes récurrents tels que l'expérience de l'exil et du déracinement, la misère sociale et psychologique, les questionnements identitaires, les rapports ambivalents aux pays d'origine et d'accueil ainsi que l'expérience des enfants de l'immigration maghrébine. On analysera en particulier les motifs littéraires, les procédés narratifs et les outils esthétiques mis en œuvre par les auteurs maghrébins pour représenter, éclairer ou dénoncer la condition de l'immigré.",K. Lyamlahy,Course not offered in 24-25.,FREN 20500 or 20503.,None,Taught in French. This is an introductory-level course.
89,FREN 25703,Le Roman et L'Histoire (XIXe-XXe Siecles),"While the nineteenth-century novel has a privileged relationship with history, twentieth-century literature is marked by a double movement of engagement with and detachment from contemporary events. This course will examine this evolution through the study of some key works from the nineteenth century to the present. Themes will include the representation and fictionalization of history, memory and quest, and the transformations of realism. Among the authors studied will be Zola, Duras, Modiano, Nemirovsky, and Djebar.",A. James,Course not offered in 24-25.,None,Taught in French.,FREN 35703
90,FREN 25725,Mental Health Conditions in French and Francophone Literature,"This course aims to survey the representation of mental health conditions in French and Francophone literature from the Middle Ages to the 20th/21st century. We will address three main categories of conditions: 1) neurodivergence/high-functioning mental illness, 2) severe mental illness, and 3) gender dysphoria and sexuality-related issues. Through these readings, the student will gain an interdisciplinary knowledge of contemporary diagnostic criteria and psychological theory as well as the sociohistorical discourse surrounding mental health during the given time period for each of the prominent French and Francophone writers and/or texts. We will investigate links between authors and texts with these mental health conditions - examining the author as a typical/atypical unit and the text as either a reflection and/or object of that condition - and how history, society and culture influence its representation in the French and Francophone context. Our selection of texts covers several different genres including poetry, novellas, essays, autobiographical writings, plays and novels. Authors studied may include: Michel de Montaigne, Gerard de Nerval, Joachim du Bellay, Marguerite Duras, Joy Sorman, Jean-Jacques Rousseau, Maïssa Bey, Molière, Heldris de Cornüalle, and the Marquis de Sade.",Enya	Calibuso,Autumn,FREN 20500 or 20503.,None,"Taught in English, with readings in French for those taking the course for French credit."
91,FREN 25900,The People v The State: French Insurrections,"Pourquoi les peuples se soulèvent-ils contre l'Etat ? Quelle fin peut justifier l'insurrection comme moyen ? Qu'elles soient soudaines ou qu'elles germinent pendant des décennies, les insurrections peuvent être le seul moyen de changer les choses, particulièrement dans une démocratie. Parfois on ne s'en rend compte que des semaines ou des mois après l'événement lui-même. Les Français ont une réputation particulière pour les manifestations, les grêves, les barricades : est-ce à cause d'une tradition insurrectionnelle, ou s'agit-il simplement d'un stéréotype ? Dans ce cours, nous étudierons plusieurs insurrections dans l'histoire française et francophone. Nous lirons des textes littéraires et philosophiques de la première modernité à nos jours afin de mieux se représenter les complexités de tels moments, et de discuter les approches théoriques aux concepts socio-politiques d'insurrection, de révolution, violence, guerrilla, etc. La classe sera centrée sur l'idée de réagir au passé afin de trouver des réponses pour le présent ; pour cela, les étudiants seront immergés pendant cinq semaines dans un jeu de rôle historique où la classe deviendra l'Assemblée Nationale Constituante de 1791. Ils rechercheront, prépareront et joueront les rôles de députés conservateurs, Jacobins, Louis XVI, Lafayette, ou seront chefs révolutionnaires des sections de Paris, comme Danton.",Pauline Goul,Course not offered in 24-25.,"FREN 20500, 20503 or a literature course taught in French.",None,Taught in French.
92,FREN 25910,Racine,"Racine's tragedies are often considered the culminating achievement of French classicism. Most famous for his powerful re-imaginings of Greek myth (Phèdre, Andromaque), his tragic universe nevertheless ranged considerably wider, from ancient Jewish queens to a contemporary Ottoman harem. We will consider the roots (from Euripides to Corneille) of his theatrical practice as well as its immense influence on future writers (from Voltaire to Proust, Beckett, and Genet).",L. Norman,Autumn,"At least one French literature course, 21700 or higher.",Course taught in French. All work in French for students seeking FREN credit; written work may be in English for those taking course for TAPS or FNDL credit.,"TAPS 35910, FREN 35910, FNDL 25910, TAPS 28476"
93,FREN 26003,Introduction à l'autobiographie,"This course traces the history of the autobiographical genre in France from the eighteenth century to the present. The study of key texts will be accompanied by an introduction to some critical perspectives. We will give special emphasis to questions of reference and authenticity, identity and subject formation, and gender and the family. Authors include Rousseau, Chateaubriand, Stendhal, Colette, Perec, and Sarraute.",A. James,Course not offered in 24-25.,FREN 20500 or 20503,Taught in French. This is an introductory-level course.,GNSE 26003
94,FREN 26012,Introduction au théâtre maghrébin,"Ce cours offre un aperçu de l'évolution de l'art dramatique au Maroc, en Algérie et en Tunisie en examinant des questions telles que l'apport des formes populaires, l'emprunt aux textes étrangers, et le lien entre l'écriture théâtrale et des débats d'ordre social, culturel ou politique. On analysera en particulier les formes d'écriture, de mise en scène et de performance pratiquées par les dramaturges maghrébins et la manière dont leurs créations permettent de repenser les cultures et les mémoires nationales, le rapport entre le théâtre et l'histoire ainsi que la représentation des identités maghrébines et de leur dialogue avec l'étranger. Les dramaturges étudiés comprennent Tayeb Saddiki, Driss Ksikes, Kateb Yacine, Aziz Chouaki, Jalila Baccar, Fadhel Jaïbi.",Khalid Lyamlahy,Course not offered in 24-25.,FREN 20500 or 20503,Taught in French. All work in French for students seeking FREN credit; written work may be in English for those taking the course for TAPS credit. This is an introductory-level course.,TAPS 24612
95,FREN 26043,"Versailles: Art, Power, Resistance and the Sun King's Palace","Louis XIV's Palace of Versailles helped shape European culture and history from the Baroque era through the French Revolution, and it continues to animate contemporary international culture. How does this astounding assemblage of architecture, visual arts, landscaping, performance spaces and political arenas reveal transformations in cultural tastes and power arrangements over the centuries? How do literature and art alternately support and subvert absolutist power and state propaganda? To respond we will range across media, from the bitingly satiric comedies and provocative tragedies of the seventeenth century (Molière, Racine), through royal edicts regulating colonial slavery and first-hand accounts of the 1789 Women's March on Versailles that upended the monarchy, and finally to cinematic depictions (from Jean Renoir to Sophia Coppola) and experimental palace installations by the world's leading contemporary artists (Jeff Koons, Anish Kapoor, etc.). While this course will broadly introduce major themes of French and European culture and history of the early-modern and modern periods, students are also encouraged to pursue in-depth projects in their own areas of interest, from history and political philosophy to the visual arts, theater and performance, and literature.",L. Norman,Course not offered in 24-25.,"Students who register under FREN 26043 must have completed FREN 20300 or equivalent, and will read French texts in the original.","Class conducted in English, with French discussion sessions and reading and writing in French for students registered under FREN 26043.",SIGN 26043
96,FREN 26220,Classicism and Romanticism,"This undergraduate/graduate course will examine the dynamic relationship between the French ""Classicism"" of the Age of Louis XIV and the later post-Revolutionary movement of Romanticism. We will pair readings of poetic, dramatic, and narrative works from the 17th century (e.g., Molière, Mme de La Fayette, Corneille, Racine) with later counterparts (Germaine de Staël, Chateaubriand, Stendhal, Hugo, George Sand), probing changing conceptions of the role of literature and art, as well as shifting attitudes towards erotic love, social norms, and nature.",L. Norman,Course not offered in 24-25.,FREN 20500 and one introductory-level literature course taught in French.,Taught in French.,FREN 36220
97,FREN 26300,Women in French Literature,TBD,None,Course not offered in 24-25.,None,"FREN 36301, GNSE 26301",None
98,FREN 26333,La poésie maghrébine d'expression française,"Depuis son émergence vers le milieu des années 1930, la poésie maghrébine d'expression française a accompagné les bouleversements politiques dans les trois pays du Maghreb et influencé la production romanesque des écrivains maghrébins. Dans les années 1960, des expériences collectives majeures - telles que la revue Souffles au Maroc - placent la poésie au centre du projet de renouvellement culturel dans la région. A la suite de ces dynamiques de groupes, les poètes maghrébins développent des œuvres poétiques ancrées dans leurs expériences individuelles mais désormais ouvertes sur le monde. Des thématiques récurrentes telles que l'exil, l'errance, le désir de révolte et la quête de la liberté mobilisent des techniques poétiques aussi variées que la violence linguistique, le dialogue avec les mythes ou encore l'utilisation des ressources de l'oralité. En étudiant un corpus d'œuvres poétiques choisies du Maroc (Abdellatif Laâbi, Tahar Ben Jellou, Rachida Madani, Saïda Menebhi), de l'Algérie (Jean Sénac, Kateb Yacine, Assia Djebar) et de la Tunisie (Albert Memmi, Amina Saïd, Tahar Bekri), ce cours présente une introduction générale à la poésie maghrébine d'expression française. On analysera en particulier les formes, les procédés et les motifs poétiques permettant d'appréhender la figure du poète, sa représentation de la patrie, son discours politique ou encore son univers de représentations sensorielles et symboliques.",K. Lyamlahy,Spring,FREN 20500 or 20503 for undergraduates.,Taught in French.,FREN 36333
99,FREN 26510,Oulipo in Context,TBD,None,Course not offered in 24-25.,None,"CMLT 36510, FREN 36510, CMLT 26510",None
100,FREN 26680,Literary Games: Oulipo and Onward,"Does constraint foster creativity? Can wordplay carry political meaning? Is formal innovation divorced from lyrical expression? How do experimental literary movements respond to their sociopolitical moments and local contexts, and how do they transform when they travel across geographical and linguistic borders? We will consider these questions via the work of the longest-lived French literary group, the Oulipo (Ouvroir de littérature potentielle or Workshop for Potential Literature), examining its origins as a quasi-secret society in 1960 and its expansion into an internationally visible and multilingual collective (with members from Italy, Spain, Argentina, and the US). We will investigate debates about inspiration and authorship, copying and plagiarism, collective creation, multilingualism, constraint and translation, and the viability of the lyric subject. While considering antecedents (Edgar Allan Poe, Raymond Roussel), our readings will explore several generations of Oulipians (Raymond Queneau, Georges Perec, Italo Calvino, Michèle Métail, Anne Garréta, Frédéric Forte), and conclude with some very contemporary Oulipo-inspired writing from around the world (Christian Bök, Urayoán Noel, Mónica de la Torre, K. Silem Mohammed). Alongside critical essays, students will carry out short experiments with constraint and procedure, as well as translation exercises; and they will have the opportunity for dialogue with acclaimed writers and scholars who will visit our seminar.",Rachel Galvin and Alison James,Spring,Open to advanced undergraduates. Students who are taking the class for French credit will complete some readings and writings in French.,FREN 36680,None
101,FREN 26700,"Jeanne d'Arc, histoire et legende","S'appuyant sur l'exemple de Jeanne d'Arc, ce cours s'intéressera à la manière dont nous transformons le passé à la lumière des besoins et des soucis du présent. Nous situerons Jeanne d'Arc dans son contexte historique à l'aide des documents légaux, littéraires, et ecclésiastiques. Nous considérerons ensuite les représentations multiples et variées de Jeanne au cours des siècles suivants, examinant par exemple des textes de Voltaire, de Michelet, d'Anouilh, et d'autres, ainsi que des films qui présentent la vie de Jeanne d'Arc.",Daisy Delogu,Course not offered in 24-25.,"FREN 20500, 20503 or a literature course taught in French.",Taught in French.,"MDVL 26700, GNSE 26700"
102,FREN 26770,Stories of Oceans and Archipelagos,"According to Fijian-Tongan writer Epeli Hau'ofa, ""There is a world of difference between viewing the Pacific as 'islands in a far sea' and as 'a sea of islands.'"" In this course, we will delve into the ""world of difference"" that exists between viewing islands as remote and insignificant, and considering them as crucial nodes in an ever-expanding planetary network. Simultaneously, we will consider the stakes of moving away from traditional representations of the ocean as a blank canvas for human movement, to instead consider it as a vibrant material and multispecies space. This course will encourage students to formulate their own approaches to cutting-edge debates in archipelagic theory and critical ocean studies, and to situate those debates within the broader fields of environmental humanities and postcolonial studies. Readings will be drawn from the Pacific Ocean, the Atlantic Ocean (including the Caribbean Sea), and the Indian Ocean.",Nikhita Obeegadoo,Spring,"For students seeking French credit, FREN 20500 or equivalent.",None,Taught in French.
103,FREN 27400,Autobiographies Maghrébines: de l'Ecriture de Soi à l'Ecriture de l'Histoire,"Dès sa naissance, la littérature maghrébine d'expression française s'est distinguée par son ancrage dans le contexte historique, politique et socio-culturel des trois pays du Maghreb que sont le Maroc, l'Algérie et la Tunisie. Souvent, l'écriture de soi a donné lieu à une (ré)écriture de l'Histoire, mettant l'individuel et le collectif en dialogue permanent. L'autobiographie, par exemple, devient le champ d'une exploration simultanée des identités individuelle et collective, le lieu d'un témoignage littéraire autour de l'expérience coloniale et de ses conséquences, ou encore de la confrontation entre le poids persistant de la tradition et le désir de liberté et de changement. En se racontant, l'écrivain maghrébin restitue les tensions qui hantent l'espace et la mémoire partagés tout en proposant des voies de reconstruction à travers la révolte, le désir, et le travail de la langue. En s'appuyant sur un corpus d'œuvres marquantes de la littérature maghrébine d'expression française (Albert Memmi, Driss Chraïbi, Kateb Yacine, Assia Djebar, Fatima Mernissi, Abdellatif Laâbi), ce séminaire sera consacré essentiellement à la question du rapport entre écriture personnelle et écriture de l'Histoire dans un contexte maghrébin. On s'interrogera en particulier sur les stratégies narratives et les outils esthétiques mis en œuvre par les auteurs maghrébins pour représenter, affronter ou déconstruire une réalité d'ordre historique, politique ou socio-culturel.",K. Lyamlahy,Course not offered in 24-25.,FREN 20500 or 20503,None,Taught in French.
104,FREN 27600,Ancien Francais/Old French,"This course will introduce students to the phonetics, morphology, syntax, and vocabulary of Old French in order to equip them with the skills necessary to work with Old and Middle French texts. We will examine and translate verse and prose passages from the twelfth to fifteenth centuries, discussing also their literary and historical contexts. The course will be conducted, as a practicum, in English.",D. Delogu,Course not offered in 24-25.,None,"Knowledge of Latin and/or modern French, though obviously helpful, is not required.",FREN 37600
105,FREN 27601,Debats et querelles litteraires au Moyen Age,TBD,None,Course not offered in 24-25.,None,None,None
106,FREN 27770,Existentialism and Its Literary Legacies,"More than a school of philosophical thought, existentialism was an intellectual movement that dominated French culture in the years following World War II. This course focuses on the literary legacy of existentialism, considering postwar debates over littérature engagée, the intersections of existentialism and the nouveau roman, and the importance of feminist existentialism for women writers. Why did existentialist thinkers turn to forms of literary expression, writing plays and novels? How did they shape the reception of other writers, and how did later writers revisit existentialist concerns? Readings may include texts by Jean-Paul Sartre, Albert Camus, Gabriel Marcel, Simone de Beauvoir, Nathalie Sarraute, Monique Wittig, Georges Perec, and Annie Ernaux.",A. James,Course not offered in 24-25.,FREN 20500 or 20503 for undergraduates.,Readings and discussion section in French.,FREN 37770
107,FREN 28000,The Theatrical Illusion:,TBD,None,Course not offered in 24-25.,None,"FREN 38000, CMLT 31001, REMS 38000, TAPS 28463, CMLT 21001",None
108,FREN 28102,Regendering the Medieval Body Politic,TBD,None,Course not offered in 24-25.,None,"FREN 38102, GNSE 38103, GNSE 28103",None
109,FREN 28110,"Le Roman Medieval, XIIe-XVe siecles",TBD,None,Course not offered in 24-25.,None,FREN 38110,None
110,FREN 28301,La Comedie Classique,TBD,None,Course not offered in 24-25.,None,FREN 38301,None
